ID,DOB,AGE,ALGO TYPE,DEMO,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,OUTPUT,OUTPUT_SIDE,NUMBER_MOVEMENTS,NOTES
139,,5,double,,red,left,blueblue ,right,red,left,blueblue ,right,red,left,blueblue ,right,red,left,blueblue ,right,red,left,blueblue ,right,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,5,hitch,,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,6,sort,,red,left,blue,right,red,left,blue,right,red,left,blueblue,right,red,left,blueblue,right,blue,right,redredred,left,red,left,blueblue,right,,,,,,,,,,,,,,,,,,,,,,
145,,6,double,,redred,left,blueblue,right,blue,right,red,left,redred,left,blueblue,right,blue,right,blue ,right,redredred,left,blueblueblue,right,redredred,left,,,,,,,,,,,,,,,,,,,,,,,,
145,,6,hitch,,redblack,left,blueblack,right,redblack,left,blueblack,right,blueblue,right,blueblack,right,redblack,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,6,sort,,redb,,redb,,redb,,redb,,blueb,,blueb,,blueb,,blueb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,6,double,,redb,,redb,,redb,,redb,,blueb,,blueb,,blueb,,blueb,,blueb,,blueb,,blueb,,blueb,,,,,,,,,,,,,,,,,,,,,,,
152,,6,hitch,,redblackb,,redblackb,,redblackb,,redblackb,,blueblack,,blueblack,,blueblack,,blueblack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,,sort,,red,left,blue,right,red,left,blue,right,redc,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,,,,,,,,,,,,,,,,
163,,,double,,red,left,blueblue ,right,red,left,blueblue ,right,red,left,blueblue ,right,red,left,blueblue ,right,red,left,blueblue ,right,red,left,blue,right,blue,right,red,left,blueblue ,right,,,,,,,,,,,,,,,,
163,,,hitch,,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,right,redblack,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,,sort,,blue,right,red,left,red,left,blue,right,blue,right,blue,right,blue,right,red,left,bluec,left,blue,right,blue,right,blue,right,blue,right,red,left,red,left,,,,,,,,,,,,,,,,
164,,,double,,blue,right,red,left,red,left,red,left,red,left,red,left,blue,right,blue,right,blue ,right,red,left,red,left,red,left,blue,right,red,left,red,left,blue,right,blue,right,red,left,blue,right,,,,,,,,
164,,,hitch,,blueblack,right,blueblack,right,blueblack,right,redblack,left,blueblack,right,redblack,left,redblack,left,blueblack,right,blueblack,right,redblack,left,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,,randomsort,,red,right,red,right,red,left,red,left,red,left,red,left,red,left,blue,left,red,left,blue,left,blue,left,red,left,,,,,,,,,,,,,,,,,,,,,,
171,,,sort,,red,left,blue,right,blue,right,red,left,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,blue,right,blue,right,red,left,blue,right,red,left,blue,right,red,left,red,left,,,,,,,,
171,,,double,,red,left,blue,right,blue,right,red,left,blue,right,red,left,blue,right,red,left,red,left,blue,right,red,left,red,left,blue,right,red,left,blue,right,red,left,blue,right,red,left,,,,,,,,,,
171,,,hitch,,redblack,left,blueblack,right,blueblack,right,redblack,left,blueblack,right,redblack,left,redblack,left,redblack,left,blueblack,right,redblack,left,redblack,left,redblack,left,blueblack,right,,,,,,,,,,,,,,,,,,,,
173,,,randomsort,,red,left,red,left,blue,left,red,right,redblue,left,blue,right,blueblueblue,right,red,right,red,right,red,right,blue,right,blue,right,,,,,,,,,,,,,,,,,,,,,,
173,,,sort,,blue,right,red,left,blue,right,blue,right,red,left,blue,right,blue,right,red,left,red,left,blue,right,blue,right,red,left,redc,right,bluec,left,red,left,blue,right,red,left,blue,right,,,,,,,,,,
173,,,double,,blue,right,red,left,red,left,blue,right,red,left,blue,right,blue,right,red,left,red,left,red,left,blue,right,blueblue,right,blueblue,right,redred,left,,,,,,,,,,,,,,,,,,
173,,,hitch,,blueblack,right,redblack,left,blueblack,right,redblack,left,blueblack,left,redblack,left,redredblack,right,blueblackblack,left,redblack,left,blueblack,left,blueblack,right,redblackblackblack,right,blueblack,left,,,,,,,,,,,,,,,,,,,,
174,,,match,,blue,1,white,2,red,1,black,1,black,1,redredblack,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,,sort,,blue,right,red,left,blue,right,red,left,blue,right,blue,right,red,left,red,left,blue,right,blue,right,blue,right,red,left,blue,right,blue,right,blue,right,red,left,,,,,,,,,,,,,,
174,,,double,,red,left,blue,right,redred,left,blue,right,blue,right,redred,left,red,left,blue,right,blue,right,redred,left,blueblue,right,redred,left,redred,left,,,,,,,,,,,,,,,,,,,,
174,,,hitch,,blueblackc,left,blue,right,blueblack,right,redblack,left,blueblack,right,blueblack,right,blueblack,right,redblack,left,redblack,left,blueblack,right,redblack,left,,,,,,,,,,,,,,,,,,,,,,,,
176,,,randomsort,,red,left,red,right,blue,left,blue,right,blue,right,red,right,red,left,blue,right,red ,right,blue,right,,,,,,,,,,,,,,,,,,,,,,,,,,
176,,,sort,,blue,right,red,left,blue,right,red,left,red,left,red,left,blue,right,blue,right,red,left,blue,right,blue,right,red,left,blue,right,red,left,blue,right,redred,left,,,,,,,,,,,,,,
176,,,double,,redred,left,blue,right,red,left,blue,right,red,left,red,left,blue,right,blue,right,red,left,blueblue,right,red,left,,,,,,,,,,,,,,,,,,,,,,,,
176,,,hitch,,black,right,red,left,redblack,right,blueblack,right,red,left,black ,right,bluered,right,black,right,blue,right,blueblack,right,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,,randomsort,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subject put marbles back into the source bucket.
183,,,sort,,blue,right,blue,right,blue,right,red,left,red,left,red,left,red,left,red,left,red,left,red,left,red,left,,,,,,,,,,,,,,,,,,,,,,,,
183,,,double,,red,left,red,left,redred,left,redred,left,redred,left,redred,left,redred,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,,hitch,,blue,left,red,left,red,left,red,left,red,left,red,left,red,left,redredred,left,redredred,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
